id,date,longitude,latitude
4LAT1,2017-04-27,-5.75625297,9.21071593
4LAT2,2017-04-27,-5.756173675,9.210008575
4LAT3,2017-04-27,-5.75682864,9.21013932
4LAT4,2017-04-27,-5.75718929,9.210614585
4LLO1,2017-04-19,-5.58319225,9.27986813
4LLO2,2017-04-19,-5.58431242,9.27894123
4LLO3,2017-04-19,-5.5817329,9.27924935
4LLO4,2017-04-19,-5.57975416,9.28003788
4LOK1,2017-04-13,-5.6069117,9.186423165
4LOK2,2017-04-13,-5.605524885,9.186011215
4LOK3,2017-04-13,-5.604387015,9.18666819
4LOK4,2017-04-13,-5.60516489,9.18801578
4MOR1,2017-04-17,-5.56989893,9.39735468
4MOR2,2017-04-17,-5.571850825,9.39789234
4MOR3,2017-04-17,-5.572127505,9.398719795
4MOR4,2017-04-17,-5.57171288,9.39908997
4NAA1,2017-04-19,-5.60862469,9.32788345
4NAA2,2017-04-19,-5.609294015,9.326398755
4NAA3,2017-04-19,-5.61063941,9.32792694
4NAK1,2017-04-15,-5.74837721,9.05972752
4NAK2,2017-04-15,-5.748184605,9.06027987
4NAK3,2017-04-15,-5.74793726,9.06054498
4NAK4,2017-04-15,-5.748227955,9.06072787
4NAL1,2017-04-21,-5.48623627,9.032423935
4NAL2,2017-04-21,-5.48640484,9.031150045
4NAL3,2017-04-21,-5.48744557,9.031843745
4NAL4,2017-04-21,-5.486646355,9.03323839
4NOK1,2017-04-23,-5.61386865,9.251787955
4NOK2,2017-04-23,-5.61403949,9.251281095
4NOK3,2017-04-23,-5.61441214,9.25156608
4NOK4,2017-04-23,-5.614304275,9.25253924
4NON1,2017-04-17,-5.56669938,9.39304983
4NON2,2017-04-17,-5.565804295,9.393049325
4NON3,2017-04-17,-5.565336505,9.392015275
4NON4,2017-04-17,-5.56683399,9.39195197
4NOT1,2017-04-15,-5.618421795,9.257481345
4NOT2,2017-04-15,-5.618492775,9.25806684
4NOT3,2017-04-15,-5.617161715,9.25865467
4NOT4,2017-04-15,-5.617655525,9.256214025
4NOU1,2017-04-27,-5.778457265,9.16801685
4NOU2,2017-04-27,-5.77934708,9.16751225
4NOU3,2017-04-27,-5.78016868,9.167058805
4NOU4,2017-04-27,-5.778702965,9.16693484
4NOW1,2017-04-23,-5.516582305,9.486699245
4NOW2,2017-04-23,-5.516420305,9.485773445
4NOW3,2017-04-23,-5.516664835,9.4845905
4NOW4,2017-04-23,-5.517034045,9.48464582
4PEN1,2017-04-17,-5.51590649,9.253153835
4PEN2,2017-04-17,-5.51569367,9.254197555
4PEN3,2017-04-17,-5.514392285,9.253333025
4PEN4,2017-04-17,-5.51344604,9.25351219
4PES1,2017-04-19,-5.488035295,9.506743635
4PES2,2017-04-19,-5.48826565,9.504914355
4PES3,2017-04-19,-5.488109585,9.504182895
4PES4,2017-04-19,-5.487037135,9.505205045
4TAG1,2017-04-29,-5.68777006,9.15989211
4TAG2,2017-04-29,-5.687142055,9.160251715
4TAG3,2017-04-29,-5.68783024,9.160913115
4TAG4,2017-04-29,-5.68846947,9.16125503
4TAH1,2017-04-25,-5.49945879,9.39462426
4TAH2,2017-04-25,-5.498630535,9.39409607
4TAH3,2017-04-25,-5.49859443,9.394137055
4TAH4,2017-04-25,-5.49896988,9.394478125
4TAK1,2017-04-21,-5.6062883,9.32531624
4TAK2,2017-04-21,-5.606180505,9.323405225
4TAK3,2017-04-21,-5.60570281,9.327494175
4TAK4,2017-04-21,-5.60310718,9.32703538
4YAY1,2017-04-21,-5.500094575,8.989029505
4YAY2,2017-04-21,-5.49952401,8.989300905
4YAY3,2017-04-21,-5.49938015,8.98906698
4YAY4,2017-04-21,-5.49961862,8.989675495
4YEN1,2017-04-23,-5.58958298,9.35304128
4YEN2,2017-04-23,-5.588393445,9.35293218
4YEN3,2017-04-23,-5.587146955,9.35138077
4YEN4,2017-04-23,-5.586812255,9.35344172
5BAP1,2017-11-02,-5.668521355,9.23663044
5BAP2,2017-11-02,-5.667822385,9.23615028
5BAP3,2017-11-02,-5.66852058,9.2377903
5BAP4,2017-11-02,-5.668767795,9.23724429
5BLA1,2017-10-31,-5.652801855,8.94955414
5BLA2,2017-10-31,-5.651652495,8.94929088
5BLA3,2017-10-31,-5.65209215,8.94817547
5BLA4,2017-10-31,-5.65326834,8.948402995
5FEL1,2017-10-25,-5.471686295,9.450424045
5FEL2,2017-10-25,-5.47198163,9.449953195
5FEL3,2017-10-25,-5.47011497,9.44897906
5FEL4,2017-10-25,-5.47026713,9.44994253
5FLA1,2017-10-19,-5.610559035,9.294422735
5FLA2,2017-10-19,-5.609736115,9.296228345
5FLA3,2017-10-19,-5.60997622,9.2971358
5FLA4,2017-10-19,-5.611000375,9.295939385
5GUE1,2017-10-19,-5.54940636,9.27169259
5GUE2,2017-10-19,-5.54882047,9.27123627
5GUE3,2017-10-19,-5.548406015,9.271904595
5GUE4,2017-10-19,-5.54924064,9.27243767
5KAG1,2017-10-21,-5.53526955,9.28179237
5KAG2,2017-10-21,-5.53630414,9.28144376
5KAG3,2017-10-21,-5.5358898,9.28255196
5KAG4,2017-10-21,-5.53475422,9.2827757
5KAR1,2017-10-27,-5.7108681,8.99161672
5KAR2,2017-10-27,-5.7098424,8.99159473
5KAR3,2017-10-27,-5.710587305,8.991091445
5KAR4,2017-10-27,-5.711433095,8.99167361
5KAT1,2017-11-04,-5.73815215,9.23409739
5KAT2,2017-11-04,-5.739574645,9.234099925
5KAT3,2017-11-04,-5.739792895,9.235023025
5KAT4,2017-11-04,-5.74008105,9.2354326
5KOG1,2017-11-04,-5.76102333,9.25663132
5KOG2,2017-11-04,-5.76115402,9.25539377
5KOG3,2017-11-04,-5.76009026,9.25541462
5KOG4,2017-11-04,-5.75927203,9.25468684
5KON1,2017-10-25,-5.514422665,9.44062726
5KON2,2017-10-25,-5.51391867,9.44029411
5KON3,2017-10-25,-5.51302382,9.44086441
5KON4,2017-10-25,-5.513528045,9.44077217
5LAG1,2017-10-19,-5.567922645,9.296866215
5LAG2,2017-10-19,-5.567185835,9.298299805
5LAG3,2017-10-19,-5.56664043,9.29930696
5LAG4,2017-10-19,-5.56822854,9.29784271
